index,dish_id,display_name,category,cuisine,serving_grams,calories,protein,carbs,fat,fiber,sodium
1,CHAUDIN,Chaudin,other,international,100,520,6.0,60.0,28.0,2.5,450
2,BAMBALOUNI,Bambalouni,other,international,100,520,6.0,60.0,28.0,2.5,450
3,GHORIBA,Ghoriba,other,international,100,520,6.0,60.0,28.0,2.5,450
4,MANGO_STICKY_RICE,Mango sticky rice,rice,international,100,130,2.7,28.0,0.3,0.4,1
5,JIANBING,Jianbing,other,international,100,520,6.0,60.0,28.0,2.5,450
6,AGUACHILE,Aguachile,other,international,100,520,6.0,60.0,28.0,2.5,450
7,CARROZZA,Carrozza,other,international,100,520,6.0,60.0,28.0,2.5,450
8,MIYAN_KUKA,Miyan kuka,other,international,100,520,6.0,60.0,28.0,2.5,450
9,EFO_RIRO,Efo riro,other,international,100,520,6.0,60.0,28.0,2.5,450
10,AYAM_MASAK_MERAH,Ayam masak merah,other,international,100,520,6.0,60.0,28.0,2.5,450
11,CHIFFON_PIE,Chiffon pie,pie,international,100,237,2.4,34.0,11.0,0.7,197
13,RISO_PATATE_E_COZZE,Riso patate e cozze,other,international,100,520,6.0,60.0,28.0,2.5,450
14,BAZIN,Bazin,other,international,100,520,6.0,60.0,28.0,2.5,450
15,BLACK_BOTTOM_PIE,Black bottom pie,pie,international,100,237,2.4,34.0,11.0,0.7,197
16,PALÓC_SOUP,Palóc soup,soup,international,100,32,1.3,5.8,0.6,0.5,343
17,SAILOR_SANDWICH,Sailor sandwich,sandwich,international,100,250,12.0,30.0,9.0,2.0,450
18,TUWO_SHINKAFA,Tuwo shinkafa,other,international,100,520,6.0,60.0,28.0,2.5,450
19,CARNE_A_LA_TAMPIQUEÑA,Carne a la tampiqueña,other,international,100,520,6.0,60.0,28.0,2.5,450
20,PASTEL_AZTECA,Pastel azteca,other,international,100,520,6.0,60.0,28.0,2.5,450
21,FUJIAN_RED_WINE_CHICKEN,Fujian red wine chicken,chicken,international,100,239,27.0,0.0,14.0,0.0,82
22,BOEBER,Boeber,other,international,100,520,6.0,60.0,28.0,2.5,450
23,LADY_BALTIMORE_CAKE,Lady Baltimore cake,cake,international,100,257,3.2,36.0,11.0,0.7,139
24,YAM_KHAI_DAO,Yam khai dao,other,international,100,520,6.0,60.0,28.0,2.5,450
